Date,Time,Open,High,Low,Close,Volume
12/17/2024,12:15 PM,3.49,3.49,3.31,3.4697,69436
12/17/2024,12:30 PM,3.47,3.53,3.43,3.48,20646
12/17/2024,12:45 PM,3.48,3.5012,3.45,3.46,4371
12/17/2024,1:00 PM,3.5,3.6,3.46,3.6,13184
12/17/2024,1:15 PM,3.55,3.58,3.55,3.55,1558
12/17/2024,1:30 PM,3.62,3.62,3.49,3.49,32361
12/17/2024,1:45 PM,3.6,3.66,3.5034,3.61,19094
12/17/2024,2:00 PM,3.63,3.6599,3.6,3.6001,9183
12/17/2024,2:15 PM,3.6,3.75,3.57,3.7001,83689
12/17/2024,2:30 PM,3.7798,3.99,3.75,3.94,86816
12/17/2024,2:45 PM,3.965,3.99,3.875,3.915,45721
12/17/2024,3:00 PM,3.9174,3.99,3.8301,3.9406,26371
12/17/2024,3:15 PM,3.96,4,3.8,3.92,56696
12/17/2024,3:30 PM,3.88,3.9699,3.88,3.9699,23613
12/17/2024,3:45 PM,3.9699,4,3.82,3.95,39385
12/17/2024,4:00 PM,3.9351,4.1299,3.9106,4.114,105190
12/18/2024,9:45 AM,4.03,4.5,3.93,4.4899,179791
12/18/2024,10:00 AM,4.44,4.9,4.42,4.7362,348341
12/18/2024,10:15 AM,4.72,4.75,4.35,4.45,132979
12/18/2024,10:30 AM,4.48,4.5284,3.99,4.115,131125
12/18/2024,10:45 AM,4.1,4.19,3.99,4.0801,101131
12/18/2024,11:00 AM,4.13,4.25,3.9999,4.15,64794
12/18/2024,11:15 AM,4.1497,4.31,4.12,4.2509,65390
12/18/2024,11:30 AM,4.19,4.49,4.12,4.38,51543
12/18/2024,11:45 AM,4.5,4.5,4.2456,4.315,41655
12/18/2024,12:00 PM,4.3231,4.3784,4.15,4.2496,39382
12/18/2024,12:15 PM,4.18,4.23,4.12,4.1949,19712
12/18/2024,12:30 PM,4.22,4.22,4.05,4.1,36399
12/18/2024,12:45 PM,4.05,4.1953,4,4.11,57902
12/18/2024,1:00 PM,4.11,4.3342,4.0674,4.17,92442
12/18/2024,1:15 PM,4.2499,4.2499,4.05,4.2001,39761
12/18/2024,1:30 PM,4.2,4.35,4.2,4.315,26644
12/18/2024,1:45 PM,4.25,4.43,4.25,4.3,24087
12/18/2024,2:00 PM,4.3,4.39,4.295,4.3595,23553
12/18/2024,2:15 PM,4.39,4.39,4.06,4.13,117207
12/18/2024,2:30 PM,4.18,4.35,4.15,4.25,59852
12/18/2024,2:45 PM,4.25,4.3492,4.1504,4.22,34950
12/18/2024,3:00 PM,4.2,4.21,3.9,4,60073
12/18/2024,3:15 PM,4.05,4.15,3.9,4,90913
12/18/2024,3:30 PM,3.98,4.07,3.85,3.91,45244
12/18/2024,3:45 PM,3.8574,3.99,3.8,3.8445,50564
12/18/2024,4:00 PM,3.8001,4.1,3.8001,4.04,52768
12/19/2024,9:45 AM,3.96,3.99,3.2,3.34,237011
12/19/2024,10:00 AM,3.325,3.55,3.05,3.1,150963
12/19/2024,10:15 AM,3.14,3.2,2.84,3.2,247244
12/19/2024,10:30 AM,3.18,3.18,2.5199,2.5199,89099
12/19/2024,10:45 AM,2.515,2.8,2.5,2.71,222496
12/19/2024,11:00 AM,2.81,2.9715,2.6201,2.88,61921
12/19/2024,11:15 AM,2.88,3.08,2.86,3,56957
12/19/2024,11:30 AM,3.05,3.2,3,3.15,24959
12/19/2024,11:45 AM,3.14,3.2,3.05,3.17,18138
12/19/2024,12:00 PM,3.1896,3.22,3.02,3.0999,31280
12/19/2024,12:15 PM,3.02,3.12,3,3.01,7483
12/19/2024,12:30 PM,2.9744,2.9744,2.82,2.82,14918
12/19/2024,12:45 PM,2.8405,2.93,2.764,2.764,16007
12/19/2024,1:00 PM,2.76,2.94,2.75,2.91,36531
12/19/2024,1:15 PM,2.93,2.93,2.7601,2.83,7658
12/19/2024,1:30 PM,2.87,2.91,2.71,2.73,25564
12/19/2024,1:45 PM,2.75,2.88,2.7101,2.88,6470
12/19/2024,2:00 PM,2.8514,2.8514,2.701,2.76,50557
12/19/2024,2:15 PM,2.76,2.88,2.76,2.81,28352
12/19/2024,2:30 PM,2.78,2.87,2.7612,2.87,2194
