Date,Time,Open,High,Low,Close,Volume
12/20/2024,12:45 PM,6.5,6.5,6.5,6.5,2
12/20/2024,2:30 PM,6.7,6.85,6.7,6.85,601
12/20/2024,2:45 PM,6.9,6.9,6.9,6.9,1
12/20/2024,3:00 PM,6.6,6.6,6.6,6.6,2
12/20/2024,3:45 PM,6.21,6.21,6.21,6.21,2
12/20/2024,4:00 PM,6.33,6.33,6.33,6.33,1
12/23/2024,9:45 AM,6.7,10.3,6.7,7.9,527
12/23/2024,10:15 AM,8.1,8.1,7.5,7.5,108
12/23/2024,10:30 AM,7.9,8.25,7.9,8.25,6
12/23/2024,10:45 AM,8.4,8.7,8.4,8.7,4
12/23/2024,11:00 AM,8.6,8.6,7.9,7.9,2
12/23/2024,11:15 AM,7.83,7.83,7.83,7.83,4
12/23/2024,11:30 AM,7.7,7.9,7.7,7.9,2
12/23/2024,11:45 AM,8,8,7.9,7.9,4
12/23/2024,12:00 PM,7.87,7.87,7.7,7.7,2
12/23/2024,12:15 PM,8.4,8.4,6.45,6.45,4
12/23/2024,1:00 PM,7.6,7.6,7.6,7.6,1
12/23/2024,1:45 PM,7.5,7.5,7.5,7.5,5
12/23/2024,2:00 PM,7.5,7.5,7.5,7.5,6
12/23/2024,2:30 PM,7.6,7.6,7.55,7.55,2
12/23/2024,3:30 PM,7.01,7.44,7.01,7.44,3
12/23/2024,3:45 PM,7.44,7.54,7.44,7.54,7
12/24/2024,10:00 AM,7.2,7.2,7,7,2
12/24/2024,10:15 AM,7.3,7.3,7.3,7.3,1
12/24/2024,10:30 AM,7.7,8.5,7.7,8.5,6
12/24/2024,10:45 AM,8.2,8.2,8,8,2
12/24/2024,11:00 AM,8.24,8.24,8.24,8.24,1
12/24/2024,11:15 AM,8.4,8.4,8.4,8.4,10
12/24/2024,12:00 PM,8.08,8.21,8.08,8.19,5
12/24/2024,12:30 PM,8,8,7.92,7.92,5
12/24/2024,1:00 PM,7.5,7.82,7.5,7.64,6
12/26/2024,9:45 AM,8.5,8.5,8.5,8.5,7
12/26/2024,10:00 AM,8.6,10,8.6,9.35,31
12/26/2024,10:15 AM,9.69,9.9,9.3,9.9,29
12/26/2024,10:30 AM,9.58,10,9.1,9.78,13
12/26/2024,10:45 AM,9.53,9.77,9.17,9.17,72
12/26/2024,11:15 AM,9.7,10.7,9.24,10.7,15
12/26/2024,11:30 AM,9.86,10.02,9.59,9.9,17
12/26/2024,11:45 AM,10.08,10.25,9.82,9.92,32
12/26/2024,12:15 PM,9.63,9.63,9.63,9.63,1
12/26/2024,12:30 PM,10.1,10.1,10.1,10.1,1
12/26/2024,12:45 PM,10.4,10.55,10.4,10.55,2
12/26/2024,1:15 PM,10.26,10.4,10.26,10.4,4
12/26/2024,1:30 PM,10.37,10.37,10.37,10.37,1
12/26/2024,2:45 PM,10.3,10.44,10.25,10.31,15
12/26/2024,3:00 PM,10,10.4,10,10.4,3
12/26/2024,3:15 PM,9.7,9.7,9.7,9.7,1
12/26/2024,4:00 PM,10.8,11,10.8,11,2
12/27/2024,9:45 AM,11.8,12,11.8,12,2
12/27/2024,10:00 AM,12.8,14,12.8,14,20
12/27/2024,10:15 AM,13,13,12.5,12.6,22
12/27/2024,10:30 AM,11.6,11.6,11.57,11.57,4
12/27/2024,10:45 AM,11.1,11.5,11.1,11.5,3
12/27/2024,11:00 AM,11.8,12.5,11.8,12.5,12
12/27/2024,11:30 AM,12.67,12.67,12.67,12.67,1
12/27/2024,11:45 AM,13.2,13.2,13.2,13.2,2
12/27/2024,12:00 PM,12.92,12.92,12.88,12.88,4
12/27/2024,12:15 PM,13,13,12.6,12.6,2
12/27/2024,12:30 PM,12.6,12.6,12.6,12.6,10
12/27/2024,1:15 PM,12.9,12.9,12.9,12.9,1
12/27/2024,1:45 PM,12.95,13.18,12.95,13.18,3
12/27/2024,2:00 PM,13,13,13,13,1
12/27/2024,2:15 PM,12.36,12.36,12.36,12.36,2
12/27/2024,3:15 PM,12.86,12.86,12.65,12.65,8
12/27/2024,3:30 PM,12,12,12,12,4
12/27/2024,3:45 PM,12.5,12.5,12.4,12.4,2
12/30/2024,9:45 AM,11,11,11,11,5
12/30/2024,10:00 AM,10.1,10.8,10.1,10.56,7
12/30/2024,10:15 AM,10.4,10.4,10.1,10.3,7
12/30/2024,10:30 AM,10.51,10.8,10.51,10.8,2
12/30/2024,11:00 AM,10.98,11.45,10.98,11.2,3
12/30/2024,12:15 PM,12.2,12.2,12.2,12.2,3
12/30/2024,12:30 PM,12.5,12.5,12.5,12.5,1
12/30/2024,12:45 PM,13.5,13.5,13.5,13.5,1
12/30/2024,1:15 PM,12.5,13.2,12.5,13.2,2
12/30/2024,2:00 PM,12.1,12.1,12.1,12.1,1
12/30/2024,2:15 PM,12.7,12.7,12.7,12.7,1
12/30/2024,2:30 PM,12.55,12.55,12.55,12.55,1
12/30/2024,4:00 PM,12.15,12.15,12.09,12.14,52
12/31/2024,10:15 AM,12.6,12.6,12.6,12.6,1
12/31/2024,11:15 AM,11.7,11.7,11.7,11.7,2
12/31/2024,11:30 AM,11.5,11.5,11.5,11.5,1
12/31/2024,12:00 PM,11.6,11.7,11.6,11.7,10
12/31/2024,12:30 PM,11.6,11.6,11.6,11.6,1
12/31/2024,1:00 PM,11.5,11.5,11.5,11.5,1
12/31/2024,2:45 PM,10.32,10.32,10.32,10.32,10
01/02/2025,10:00 AM,10.98,10.98,10.98,10.98,1
01/02/2025,10:30 AM,11.5,11.5,11.5,11.5,10
01/02/2025,10:45 AM,11.88,11.88,11.88,11.88,1
01/02/2025,11:00 AM,11,11,11,11,1
01/02/2025,11:30 AM,11.8,11.8,11.8,11.8,2
01/02/2025,11:45 AM,12.4,12.4,12.4,12.4,1
01/02/2025,12:30 PM,12.7,12.7,12.7,12.7,1
01/02/2025,3:30 PM,13.6,14.2,13.29,13.29,5
01/02/2025,4:00 PM,14.3,14.3,14.21,14.21,11
01/03/2025,10:00 AM,14.5,14.5,14.17,14.17,2
01/03/2025,10:15 AM,13.38,13.38,13.38,13.38,1
01/03/2025,10:30 AM,12.34,12.34,12.29,12.29,13
01/03/2025,11:15 AM,13.46,13.46,13.46,13.46,1
01/03/2025,12:45 PM,13,13.57,13,13.57,36
01/03/2025,2:15 PM,12.71,12.71,12.71,12.71,1
01/06/2025,10:00 AM,14.84,15.55,14.84,15.05,6
01/06/2025,10:30 AM,15,15,14.68,14.68,2
01/06/2025,11:30 AM,13.33,13.33,13.33,13.33,2
