Date,Time,Open,High,Low,Close,Volume
12/24/2024,10:30 AM,11.2999,11.85,11.26,11.6886,10301355
12/24/2024,10:45 AM,11.69,11.98,11.66,11.75,7968542
12/24/2024,11:00 AM,11.76,11.99,11.52,11.9751,8577316
12/24/2024,11:15 AM,11.971,12.2799,11.83,12.1882,8789347
12/24/2024,11:30 AM,12.19,12.26,11.945,12.0988,5696807
12/24/2024,11:45 AM,12.09,12.13,11.79,11.8715,3735928
12/24/2024,12:00 PM,11.8712,11.89,11.53,11.5601,5173924
12/24/2024,12:15 PM,11.5611,11.68,11.4,11.4312,3717469
12/24/2024,12:30 PM,11.4392,11.61,11.255,11.3001,4197444
12/24/2024,12:45 PM,11.3,11.48,11.2,11.2099,3113435
12/24/2024,1:00 PM,11.205,11.41,11.13,11.335,3435191
12/24/2024,1:15 PM,11.35,11.35,11.35,11.35,266789
12/26/2024,9:45 AM,11.2,12.4,10.76,12.195,14856587
12/26/2024,10:00 AM,12.1888,13.25,12.06,13.1134,25081129
12/26/2024,10:15 AM,13.1101,13.35,12.9,12.94,13118404
12/26/2024,10:30 AM,12.94,14,12.9,13.52,17604476
12/26/2024,10:45 AM,13.525,13.77,13.24,13.3303,8337519
12/26/2024,11:00 AM,13.33,13.59,13.01,13.5388,6918199
12/26/2024,11:15 AM,13.54,14.18,13.5,14.0488,9840520
12/26/2024,11:30 AM,14.04,14.24,13.59,14.18,7979483
12/26/2024,11:45 AM,14.1712,14.43,14.105,14.385,7200689
12/26/2024,12:00 PM,14.385,14.41,14.16,14.1797,4266602
12/26/2024,12:15 PM,14.1702,14.3,13.76,14.1199,5094560
12/26/2024,12:30 PM,14.115,14.64,14.0406,14.535,5253021
12/26/2024,12:45 PM,14.5383,14.94,14.5,14.7827,6623667
12/26/2024,1:00 PM,14.79,14.83,14.46,14.535,4549477
12/26/2024,1:15 PM,14.535,14.735,14.4,14.51,3318996
12/26/2024,1:30 PM,14.52,14.75,14.48,14.7126,3037378
12/26/2024,1:45 PM,14.7128,14.7143,14.3603,14.4606,2744555
12/26/2024,2:00 PM,14.46,14.66,14.43,14.565,2139447
12/26/2024,2:15 PM,14.565,14.58,14.23,14.52,2779501
12/26/2024,2:30 PM,14.522,14.6,14.41,14.4654,1849923
12/26/2024,2:45 PM,14.48,14.79,14.26,14.43,3751331
12/26/2024,3:00 PM,14.4209,14.578,14.32,14.4352,2480330
12/26/2024,3:15 PM,14.4312,14.7,14.25,14.5588,2974867
12/26/2024,3:30 PM,14.5512,14.96,14.55,14.92,5460050
12/26/2024,3:45 PM,14.92,14.99,14.62,14.8901,5214100
12/26/2024,4:00 PM,14.8992,15.5,14.86,15.445,9413472
12/27/2024,9:45 AM,16.86,17.73,16.09,17.17,30030584
